Netherlands,English
later,later
voordat,before
ogen,eyes
vrij,free
klopt,Correct
gaf,gave
foto,photo
word,become
zodat,so that
dochter,daughter
problemen,issues
plek,place
water,water
kent,knows
week,week
beginnen,to start
praat,talking
eerder,earlier
mis,mass
handen,hands
deur,door
baby,baby
bellen,to call
boven,upper
groot,big
echte,real
hoeft,needs
doden,kill
stoppen,fuses
moeilijk,difficult
sinds,since
land,land
spelen,to play
zoveel,so much
hetzelfde,the same
mevrouw,Madam
snap,snap
breng,bring
pakken,to take
druk,Busy
verhaal,story
lekker,Tasty
vrouwen,women
schat,Darling
vergeten,forget
gebeuren,to happen
ervan,of it
kreeg,got
waarschijnlijk,probably
hoi,Hi
mogelijk,possibly
mooie,nice
bloed,blood
wees,orphan
nacht,night
nieuws,news
bed,bed
liet,let
lopen,to walk
gelukkig,happy
waarheid,truth
reden,rode
papa,Daddy
hoorde,heard
klinkt,sounds
maanden,months
vermoorden,murder
zorg,concern
dollar,dollar
bezig,busy
voorbij,past
terwijl,while
sta,stand
zaken,Affairs
avond,evening
tien,ten
schuld,debt
veilig,safe
redden,to rescue
hart,heart
zult,will
duidelijk,clearly
stel,couple
the,the
schiet,shooting
eraan,there
zes,six
begin,get started
gekomen,arrived
vol,full
vriendin,female friend
rond,round
voelt,feel
baas,boss
moord,murder
ander,other
klein,small
fijn,fine
jaren,years
mam,mam
lichaam,body
eerlijk,honestly
gezicht,sight
ver,far
wakker,wake -up
ouders,parents
zoiets,something like this
leren,to learn
telefoon,telephone
los,loose
per,per
mama,mom
nummer,number
fout,wrong
mogen,to be allowed to
meteen,immediately
slapen,to sleep
zeer,very
dezelfde,the same
liefde,love
alstublieft,Please
deel,part 
liggen,lie
erop,on top
vaak,often
vallen,traps
belangrijk,important
sterven,die
oud,old
neer,down
buurt,neighbourhood
langs,by
houd,loves
rest,rest
stond,was standing
sir,sir
begrepen,understood
drinken,drinks
team,team
vertelde,told
beneden,downstairs
vergeet,forgets
vooruit,ahead
mrs,Mrs.
hoort,belongs
baan,track
dicht,closed
inderdaad,indeed
geval,case
zetten,to make
oorlog,war
mezelf,myself
tijdens,during the day
john,John
maakte,feature
kennen,know
gebruikt,used
oke,Okay
geluk,luck
hey,hey
hield,kept
wapen,weapon
kop,head
vertrouwen,to trust
rust,peace
mond,mouth
weken,to soften
elk,each
betalen,pay
anderen,others
neemt,takes
recht,straight
nam,nam
jack,jacket
kantoor,office
gegeven,datum
ermee,with it
overal,everywhere
e√©n,E√ © N
daarna,then
tweede,second
onderzoek,research
welkom,welcome
hard,hard
liever,rather
bewijs,evidence
vanaf,from
aardig,nice
klootzak,asshole
stuk,piece
woord,word
veranderen,change
zin,sentence
straks,soon
vent,father
zus,sister
haat,hate
vandaan,from
miss,miss
lieverd,Darling
zichzelf,itself
nieuw,new
ontmoeten,Meet
werden,be
allebei,both
minder,fewer
pap,dad
nergens,nowhere
kwaad,angry
sam,sam
erin,there
ervoor,before
kerel,guy
gisteren,yesterday
ontmoet,meet
miljoen,million
film,movie
verloren,lost
probeerde,attempted
gebeld,called
new,new
antwoord,answer
noemen,to call
informatie,information
boek,book
stil,quiet
kapitein,captain
kwijt,lost
enkel,single
valt,fall
boos,angry
licht,light
geworden,have become
persoon,person
konden,alloy
beschermen,to protect
slechte,poor
ziekenhuis,Hopital
gevoel,feeling
gegaan,gone
voorzichtig,carefully
hond,dog
rijden,to ride
eindelijk,finally
gesproken,spoken
meisjes,girls
aarde,soil
ten,at
normaal,normal
grappig,funny
heren,Gentlemen
moordenaar,killer
mens,man
president,president
nogal,rather
gevangenis,jail
loopt,runs
degene,the one
prachtig,beautiful
hoezo,how so
kopen,to buy
vechten,to fight
punt,point
vreemd,foreign
trouwen,to marry
contact,Contact
verkeerd,wrong
meen,mean
koffie,coffee
verwacht,expected
schip,ship
ziek,ill
plezier,pleasure
einde,end
stap,step
advocaat,lawyer
begint,begins
begon,began
enkele,a few
erbij,there
gang,course
gebeurde,happened
heer,gentleman
herinner,remember
jezus,Jesus
opnieuw,again
serieus,serious
zomaar,just like that
pardon,excuse me
gevraagd,sought -after
controle,check
getrouwd,married
daarmee,with that
spel,game
bedoelt,intended
perfect,perfect
stellen,set
juiste,right one
koning,king
beloof,promise
grond,ground
waard,worth
winnen,to win
nadat,once
gebruik,usage
naartoe,to
begrijpen,to understand
veranderd,changed
acht,eight
gingen,used to go
kwamen,arrive
leeft,lives
leg,put
gekregen,got
langer,longer
verliezen,to lose
vroeger,earlier
lucht,sky
wapens,weapons
verlaten,to leave
probeert,tries
dames,ladies
seks,sex
schieten,to shoot
toekomst,future
behalve,except
slim,smart
meest,most
stuur,send
leger,army
woorden,words
zeven,seven
brengt,brings
charlie,Charlie
half,half
hierheen,here
trots,pride
spullen,stuff
geheim,secret
helpt,helps
vraagt,requires
michael,Michael
weinig,few
ongeveer,about
schatje,darling
sommige,some
makkelijk,comfortable
kracht,power
gedood,killed
gestolen,stolen
tenminste,at least
lange,long
ongeluk,accident
frank,Frank
zodra,as soon
werkte,worked
wilden,wild ones
eet,eat
slechts,only
lief,sweet
nietwaar,not true
relatie,relation
trek,migration
afgelopen,last
val,fall
volgen,to follow
ter,ter
voelde,felt
bekend,known
bewijzen,prove
hoef,hoof
via,through
oom,uncle
loop,run
belde,call
lijken,corpses
sturen,to steer
men,men
slachtoffer,victim
george,George
genomen,taken
maand,month
onzin,nonsense
meid,girl
york,york
erger,worse
idioot,idiot
ziens,see
dienst,employ
erover,over
feest,party
leek,seemed
vreselijk,horrible
eentje,one
gevaar,danger
wonen,live
grootste,great
succes,good luck
vertrekken,to leave
jawel,Yes
muziek,music
mocht,for
raar,weird
slaap,sleep
joe,Joe
absoluut,absolute
vorige,previous
ruimte,room
ieder,everyone
schuldig,guilty
goeie,good
begonnen,started
luisteren,listen
sterk,strong
omhoog,upwards
totdat,until
afspraak,appointment
lezen,read
zwarte,black
vanwege,because of
hemel,heaven
tenzij,unless
gisteravond,yesterday evening
begrijpt,understand
ene,one
lag,lag
naast,next
vooral,mainly
fantastisch,fantastic
gered,saved
viel,fell
trouwens,Incidentally
bank,Bank
pistool,pistol
noem,call
bedrijf,company
camera,camera
blijkbaar,evidently
woont,lives
verkopen,to sell
beide,both
zolang,so long
straat,street
mike,Mike
geest,spirit
david,David
vuur,firework
peter,Peter
verkeerde,wrong
moesten,had to
lieve,dear
tom,Tom
geprobeerd,tried
meeste,most of them
kijkt,looks
stierf,died
hotel,hotel
droom,dream
verliefd,in love
jammer,Shame
gedacht,thought
let,watchmanship
rug,back
vertaling,translation
slaan,to beat
gaten,holes
doel,goal
meter,meter
drugs,drug
gevaarlijk,dangerous
geweldige,great
lijst,list
fbi,FBI
namen,take
deden,did
jonge,young
schelen,care
goedemorgen,Good morning
dragen,wear
iedere,each
excuseer,excuse
stom,stupid
jong,young
zover,as far
betaald,paid
kende,knew
kleren,clothes
gesprek,conversation
lukt,succeeds
welk,which
vertelt,tells
prijs,price
voorstellen,to suggest
huwelijk,wedding
missen,to miss
schrijven,to write
groep,group
herinneren,to remind
regels,lines
vonden,found
vliegtuig,aeroplane
onderweg,en route
delen,to share
geleerd,learned
stomme,stupid
bestaat,consists
james,James
vertrouw,trust
daarvoor,before that
shit,shit
trekken,Pull
zak,bag
vanuit,from
gebracht,brought
stem,voice
gezin,family
keuze,choice
raken,touch
direct,straight away
verdomde,damn
boot,boat
dom,stupid
verleden,past
gemist,missed
duurt,takes
gedachten,thoughts
situatie,situation
moe,tired
deal,deal
tafel,table
band,band
generaal,general
reis,trip
partner,partner
leuke,nice
raad,council
honger,hungry
geraakt,touched
gebouw,building
zwaar,heavy
gast,guest
gestuurd,steered
geboren,born
bracht,brought
rechter,right
agenten,agents
macht,power
spreek,speak
derde,third
regel,rule
kolonel,colonel
ruzie,row
oma,Grandma
zeiden,said
speelt,plays
dronken,drunk
vliegen,to fly
luitenant,lieutenant
gelooft,believes
arme,poor
seconden,second
liep,walked
tuurlijk,sure
red,red
gefeliciteerd,congratulations
koud,cold
regelen,to arrange
henry,Henry
bericht,message
vlucht,flight
moeite,trouble
hel,hell
dame,Lady
oog,eye
dansen,dancing
teken,sign
onmogelijk,impossible
gewerkt,worked
helaas,unfortunately
grapje,just kidding
arm,arm
show,show
lachen,laugh
leggen,lay
sleutel,key
wet,law
liefje,Darling
keek,watched
paul,Paul
alex,Alex
aantal,number
zoekt,searches
extra,additional
zweer,swear
leiden,to lead
harry,Harry
mary,Mary
lijk,corpse
kapot,Broken
bleef,Remained
sneller,faster
gebroken,broken
uiteindelijk,finally
verdwenen,gone
kaart,card
kerk,church
mijne,mine
dode,dead
brand,fire
max,max
betrokken,concerned
wegwezen,get out
plannen,plan
volg,follow
lastig,annoying
tijdje,while
negen,nine
gebied,area
beiden,both
eind,end
operatie,operation
diep,deep
persoonlijk,personal
liegen,to lie
zwanger,pregnant
club,club
respect,respect
steek,lurch
waarvoor,for which
missie,mission
cool,cool
danny,Danny
amerika,America
zon,Sun
kost,cost
paard,horse
waarop,on which
maat,mate
brief,letter
raak,striking
rijk,rich
rij,queue
risico,risk
meestal,generally
witte,white
getuige,witness
kwalijk,bad
rechercheur,detective
schoenen,shoes
bar,bar
hoeven,hooves
midden,middle
hopelijk,hopefully
lijn,line
eer,honor
gezet,set
zuster,sister
bal,ball
sprak,spoke
aanval,attack
aandacht,attention
kiezen,to elect
komaan,come on
rode,red
meiden,pendulum
amerikaanse,American
adres,address
zee,sea
hoog,high
feestje,party
gekocht,purchased
bevel,order
wedstrijd,contest
sluiten,Close
daarvan,of them
jimmy,Jimmy
volledig,complete
rot,rotten
les,grade
ziel,soul
interessant,interesting
slag,battle
sluit,closing
zelfmoord,suicide
computer,computer
planeet,planet
bereiken,reaches
verdachte,suspect
sarah,Sarah
gelezen,read
uitleggen,to explain
beloofd,promised
laatst,last
winkel,store
zul,like that
wagen,car
angst,fear
muur,wall
leeg,empty
bezoek,visit
stelen,to steal
gewonnen,won
positie,position
wisten,knew
sheriff,sheriff
bekijken,to look at
helft,half
warm,warmly
keus,choice
vanmorgen,this morning
park,park
zulke,such
nick,Nick
heerlijk,Delicious
gevallen,fallen
zaten,sat
rennen,run
gewond,injured
sergeant,sergeant
volk,people
dieren,animal
kort,short
spreekt,speaks
allen,all
tony,Tony
verdient,earnings
onderzoeken,to research
haast,hast
dromen,to dream
systeem,system
meester,master
kont,ass
enig,any
ontdekt,discovers
verkocht,sold
tante,aunt
bewegen,to move
geschreven,written
groter,taller
neus,nose
ach,oh
verklaring,declaration
broek,pair of trousers
verdienen,to deserve
speel,play
hangt,hangs
vijand,enemy
gelukt,success
verschillende,various
speciale,special one
verrassing,surprise
vreemde,stranger
sla,salad
geschiedenis,history
erachter,behind
lul,dick
bezorgd,Worried
hoogte,height
vrede,peace
meegenomen,brought
zagen,saws
liegt,lies
bus,bus
belachelijk,ridiculous
betere,better
raam,window
wijn,wine
mes,knife
ontslagen,dismissed
geheime,secret
gehouden,kept
weggaan,go away
weekend,weekend
excuses,apologies
getuigen,to give evidence
jim,Jim
bom,bomb
inspecteur,inspector
gehaald,fetched
spoor,track
held,hero
benen,legs
dachten,thought
waarvan,of which
tas,bag
thee,tea
ray,ray
jane,Jane
overleven,to survive
belt,call
meenemen,take
nek,neck
gevecht,battle
bestaan,to exist
ongelooflijk,incredible
slachtoffers,victims
drink,drink
ring,ring
donker,dark
links,left
dichtbij,close to
bereid,prepared
feit,fact
vriendje,boyfriend
professor,professor
verschil,difference
collega,co-worker
spul,stuff
boeken,books
slaat,hit
will,will
alweer,again
rekening,account
gooi,throw
beslissing,decision
verlies,loss
been,leg
verjaardag,birthday
lift,elevator
tommy,Tommy
bob,Bob
koningin,queen
teveel,too many
levend,living
waarmee,by which
raakt,touches
draagt,wears
verandert,changes
trein,train
monster,sample
raakte,gag
sporen,tracks
opa,grandfather
zingen,to sing
voeten,feet
lot,lot
richting,direction
knap,good looking
duren,to last
speciaal,special
gebruikte,used
gestopt,stopped
hoge,high
gesloten,Closed
boord,board
bedoelde,referred to
gepakt,packed
you,You
draai,play
vannacht,tonight
ijs,ice
enorme,huge
reed,drove
beurt,turn
koop,purchase
appartement,apartment
cel,cell
begraven,to bury
indruk,impression
vlees,meat
strijd,conflict
ochtend,morning
keuken,kitchen
energie,energy
vernietigen,destroy
geregeld,organized
plaatsen,places
gevoelens,feelings
last,burden
bedanken,to thank
ophouden,to hold up
hangen,to hang
kennis,knowledge
bill,Bill
pati√´nt,patient
zware,heavy
basis,base
kat,cat
glas,glass
sloeg,Slag
dankzij,thanks to
dader,perpetrator
gasten,guests
zwart,black
betaal,pay
adem,breath
richard,Richard
boodschap,errand
grap,joke
bos,bunch
geholpen,assisted
godsnaam,God sake
prachtige,gorgeous
neergeschoten,shot
werkelijk,really
gestorven,died
huilen,to cry
commandant,commander
billy,Billy
soldaten,soldiers
jake,jake
jurk,dress
gevangen,captured
veiligheid,safety
hoek,corner
hiermee,with this
afstand,distance
kilometer,kilometer
regering,government
stoel,chair
onschuldig,innocent
kogel,ball
londen,London
vlak,right
stuurde,steered
fijne,nice
waarin,in which
voet,foot
haalt,fetches
ontsnappen,escape
gooien,to throw
ineens,suddenly
ouwe,old
test,test
toestemming,permission
wraak,revenge
breken,break
rol,role
opschieten,Hurry up
kalm,calm
goud,gold
verantwoordelijk,responsible
enorm,enormous
bespreken,discuss
noemt,mentions
verdorie,damn
ervaring,experience
soldaat,soldier
gepraat,talking
steve,Steve
mark,Mark
totaal,total
and,and
gratis,free
overleden,dead
moorden,kill
eiland,Island
beeld,image
passen,to fit
leeftijd,age
noemde,mentioned
tekenen,to draw
doorgaan,Get on
boom,tree
uitzoeken,to sort
dak,roof
besloten,decided
lunch,lunch
ryan,Ryan
vele,many
schoon,beautiful
controleren,check
gearresteerd,arrested
schoot,shot
eraf,off
achteruit,backwards
johnny,Johnny
belangrijke,important
lees,read
perfecte,perfect
dorp,village
eikel,jerk
bobby,Bobby
dossier,file
past,suits
code,code
vieren,to celebrate
geluid,sound
homo,homo
verschrikkelijk,terrible
stelt,stilt
slaapt,sleeps
bier,beer
dna,DNA
hoelang,how long
eenmaal,once
simpel,easy
zocht,sought
blauwe,blue
stukje,piece
vermist,missing
zorgt,worries
gat,hole
ouder,older
kate,Kate
schrijf,writing
schreef,wrote
wens,wish
geslagen,beaten
parijs,Paris
toevallig,chance
leiding,pipe
edelachtbare,prevailable
bouwen,to build
geweten,known
heilige,holy
restaurant,restaurant
sterft,dies
toegang,access
verbergen,hide
draait,turns
leidt,leads
armen,poor
luke,Luke
taak,task
ware,true
lab,label
misdaad,crime
nadenken,think it over
vakantie,holidays
behoorlijk,fairly
sleutels,Keys
video,video
levens,lives
geniet,enjoy
draaien,turn
vertrek,departure
betreft,Re
eric,Eric
slot,key lock
verpest,ruined
proces,process
opdracht,Job
programma,program
klote,lick
leider,leader
actie,action
waardoor,as a result of which
antwoorden,answers
gezeten,sitting
bruiloft,wedding
vorm,form
woon,living
directeur,director
cli√´nt,Cli and
goedenavond,Good evening
advies,advice
hoewel,although
eddie,Eddie
chris,Chris
uren,o'clock
welterusten,Good night
tijden,times
volwassen,adult
vuile,dirty
majoor,major
radio,radio
aangenaam,nice to meet you
drankje,drink
maan,Moon
kregen,got
gemakkelijk,easy
vergeef,forgery
klas,class
krant,newspaper
langzaam,slowly
kosten,cost
martin,Martin
procent,per cent
mist,fog
pad,path
vrijheid,freedom
verdwijnen,to disappear
gelogen,lied
beweging,movement
twijfel,doubt
neef,cousin
gemeen,mean
fles,bottle
dol,foolish
draag,carry
waarover,about what
rood,red
hersenen,brain
der,dero
verloor,lost
taxi,cab
voorkomen,prevent
medicijnen,medicines
okay,Okay
binnenkort,shortly
doos,box
terecht,justifiably
mening,opinion
geweer,gun
bezit,possess
top,top
wonder,wonder
vergeven,to forgive
stopt,stops
hopen,to hope
thomas,Thomas
ophalen,to retrieve
wind,wind
oplossen,dissolve
jaloers,jealous
kevin,Kevin
rachel,rachel
onmiddellijk,immediately
gedrag,behaviour
charles,Charles
stemmen,to vote
ontbijt,breakfast
lol,LOL
walter,Walter
honden,dog
ontvangen,received
verhalen,stories
rivier,river
twaalf,twelve
voedsel,food
gauw,quickly
volgt,follow
vaker,more often
adam,Adam
keren,turn
klanten,customers
chef,chef
wint,win
brian,Brian
minuut,minute
anna,Anna
detective,detective
verraden,betray
don,Don
geweld,violence
akkoord,agree
tonen,to show
genoemd,named
gewone,ordinary
papieren,paper
verband,bandage
hoopte,hoped
rare,strange
brug,bridge
jas,jacket
bloemen,flowers
daniel,Daniel
trap,staircase
mijnheer,Sir
aanvallen,to attack
leer,doctrine
street,street
opnemen,to withdraw
robert,Robert
schade,injury
blijkt,turns out
bijzonder,special
huid,skin
krachten,forces
zakken,to fail
openen,to open
arts,doctor
hoer,whore
gestoord,disturbed
scott,scot
gegeten,ate
echtgenoot,husband
bedoeling,intention
durf,dare
trouw,fidelity
bedenken,think about
ergste,worst
bedacht,invented
tegenhouden,to prevent
vermoordde,killed
nachts,night
vertrokken,left
knul,kid
engels,English
start,Start
favoriete,favourite
persoonlijke,personal
bepaalde,certain
sommigen,some
yeah,yeah
momentje,just hold on
medische,medical
sexy,sexy
burgemeester,mayor
lee,lee
officier,officer
kussen,to kiss
date,date
ster,star
gezocht,sought
captain,captain
wezen,being
roep,call
details,details
zomer,summer
dikke,thick
ruikt,smells
eigenaar,owner
motor,engine
universiteit,university
hielp,helped
kus,kiss
luistert,listen
gegevens,facts
claire,claire
beveiliging,security
nagedacht,thought
lisa,Lisa
gekozen,chosen
betaalt,pays
betekenen,mean
verborgen,hidden
publiek,audience
carri√®re,CARRIE®RE
tanden,teeth
amy,Amy
rapport,report
super,super
vrije,free
geheimen,secrets
opeens,suddenly
beest,beast
afgesproken,agreed to meet
halve,half
rijdt,drives
belangrijkste,main
kamp,camp
leef,living
washington,Washington
steun,support
afdeling,department
honderd,hundred
vorig,last
rook,smoke
boel,lot
vecht,Vecht
strand,beach
jason,Jason
magie,magic
oplossing,solution
type,type
rusten,rest
droeg,wore
wellicht,perhaps
beelden,images
genaamd,called
terugkomen,coming back
voeren,feed
waardeer,appreciate
nauwelijks,hardly
bad,bath
bieden,offer
ge√Ønteresseerd,is interested
verlaat,leaves
duivel,devil
overkomen,come across
speelde,played
pond,lb
ballen,ball
duizenden,thousands
gedoe,soil
city,City
nerveus,nervous
locatie,location
blik,look
doelwit,target
gekke,crazy
meegemaakt,experienced
twintig,twenty
emily,Emily
klant,customer
kerels,guy
loog,lye
post,post
aangevallen,attacked
oren,ear
emma,Emma
springen,to jump
gevolgd,followed
releases,releases
lach,smile
ontmoette,met
zwak,weak
engeland,England
ziekte,disease
sterren,stars
kyle,kyle
trekt,pulls
toilet,toilet
steen,stone
logisch,logically
landen,to land
geloofde,believed
fouten,errors
verwachten,to expect
leo,leo
dankbaar,satisfying
veroorzaakt,causes
duizend,thousand
wow,wow
aangedaan,affected
andy,Andy
jury,jury
verslaan,defeat
vangen,to catch
christus,Christ
maria,Maria
testen,to test
grens,border
paniek,panic
nogmaals,once more
telefoontje,phone
steken,stiches
jesse,Jesse
pete,pore
ontsnapt,Escaped
herinnert,remember
paarden,horses
vaders,fathers
theorie,theory
prins,Prince
vissen,fishing
bron,source
lid,member
drank,drink
vergadering,meeting
gebleven,remained
meerdere,multiple
ondanks,Despite
machine,machine
moeders,mothers
signaal,signal
geslapen,slept
lijden,suffering
stappen,steps
carter,carter
eeuwig,eternal
vreselijke,terrible
matt,matt
doodde,kill
dik,fat
verkoop,sale
rechtbank,court
harde,tough
genezen,cured
begrafenis,funeral
veld,field
straf,penalty
uitgenodigd,invited
laag,low
grace,Grace
kies,molar
wiens,whose
william,William
schattig,cute
dr.,Dr.
schot,shot
vijanden,enemies
neuken,fuck
broers,brothers
jagen,to hunt
tevreden,satisfied
gaven,give
taart,cake
domme,stupid
flat,flat
manieren,manners
afmaken,kill
vriendelijk,friendly
san,san
sterker,stronger
vluchten,to flee
pers,press
project,project
vertrekt,leaves
belang,interest
frankrijk,France
lukken,work
geschoten,shot
prinses,princess
zwaard,sword
aandoen,to affect
arthur,Arthur
annie,Annie
makkelijker,easier
gedragen,to behave
bende,gang
ernstig,serious
gezond,healthy
jouwe,yours
vingers,fingers
las,weld
arresteren,to arrest
tuin,garden
idee√´n,ideas
korte,short
gelaten,resistant
sean,Sean
duitse,German
vrijdag,Friday
opstaan,to get up
kunst,art
sterke,strong
afscheid,parting
menselijke,human
minister,minister
clark,clark
coach,coach
verboden,forbidden
kelder,cellar
gezelschap,company
bijvoorbeeld,for example
achtergelaten,abandoned
duur,duration
compleet,completely
eng,scary
toeval,chance
snapt,gets
hiervan,thus
miljoenen,millions
simon,Simon
jerry,Jerry
war,war
melk,milk
kelly,Kelly
lui,lazy
genieten,to enjoy
aannemen,contract
uitstekend,excellent
tegenover,opposite
dichterbij,closer
chicago,chicago
kocht,bought
stuurt,steering
volle,full
schijnt,appears
lenen,to borrow
moed,courage
alice,Alice
vergissing,mistake
pati√´nten,patient
toon,tone
normale,normal
broeder,brother
kaarten,Cards
films,films
reizen,to travel
ruim,roomy
herinneringen,memories
gedachte,thought
saai,boring
joey,Joey
roken,smoking
truck,truck
gaaf,great
tegenwoordig,nowadays
kwestie,matter
zette,set
opzij,sidewalk
gaande,going on
omgeving,environment
kip,chicken
verstopt,constipated
leerde,learned
vanochtend,this morning
kast,closet
officieel,officially
aanbod,offer
sms,text message
vernietigd,destroyed
verliest,loses
menselijk,human
contract,contract
lady,lady
mooiste,most beautiful
flink,considerable
majesteit,majesty
cia,C.I.A
carl,carl
sukkel,softy
stopte,stopped
haalde,fetched
verdiend,earned
genoegen,pleasure
senator,senator
buren,neighbors
alan,Alan
internet,internet
vloer,floor
zwemmen,swimming
taylor,Taylor
bedoeld,meant
opgesloten,locked up
ontslag,dismissal
bekijk,look at
borst,chest
schreeuwen,shout
bevalt,pleases
hoger,higher
blanke,White person
redenen,reasons
harder,harder
ontvoerd,abducted
vasthouden,to cling
dave,Dave
lucy,Lucy
behandelen,to deal with
berg,mountain
noorden,north
opgeven,to report
bepaald,certain
spelletje,game
maatje,Buddy
daardoor,thereby
omstandigheden,circumstances
opgelost,dissolved
heus,real
koken,to cook
vingerafdrukken,fingerprints
trut,bitch
eenvoudig,simple
hiervoor,for this
stukken,pieces
tent,tent
pauze,pause
raden,councils
roepen,call
leugenaar,liar
bek,beak
vervangen,to replace
alarm,alarm
interesse,interest
talent,talent
bereikt,reaches
amerikanen,Americans
kanker,cancer
ted,ted
aangezien,as
beslissen,to decide
des,des
rose,rose
cadeau,gift
mexico,Mexico
kerst,Christmas
louis,Louis
invloed,influence
geheugen,memory
station,station
doorheen,through
vogel,bird
verantwoordelijkheid,responsibility
pillen,pills
rome,Rome
diner,dinner
besluit,decision
vlug,rapid
deuren,doors
woonde,lived
west,west
huh,huh
verstand,mind
moeilijke,difficult
juffrouw,lady
bescherming,protection
quality,quality
stilte,Silence
bak,bin
papier,paper
erom,about
volledige,sufficient
zojuist,just now
